x,y
0.0,0.0
57.47675276934449,1367.3925489379747
114.95350553868899,2734.7850978759493
173.65556368413476,4134.7248956063695
232.35762182958055,5534.664693336789
232.35762182958055,5534.664693336789
1576.036528947231,5507.672156088213
2919.715436064882,5480.679618839637
4263.3529211546975,5454.118017579228
5607.163370289499,5427.20104902549
5607.163370289499,5427.20104902549
5563.818601999683,4040.6683897772837
5520.473833709867,2654.1357305290776
5489.793269621355,1312.4864831521
5459.1127055328425,-29.16276422487772
5459.1127055328425,-29.16276422487772
4144.3290198691375,-76.06526216010172
2819.771432677988,-121.88906290120315
1493.8631614177295,-168.86015830713677
168.60312760687225,-214.91410910015162
